Names,Years Active
The Weeknd,2010
Drake,2001
Rihanna,2003
Travis Scott,2012
Chris Brown,2002
Blackbear,2006
Kendrick Lamar,2004
J. Cole,2007
Twenty One Pilots,2009
Arctic Monkeys,2002
The NBHD,2011
Logic,2010-20
